Scenario,year,variable,sector,qualifier,type,value,model
0.100000000,"2012","out","Elec","S1","q",4850.169586019,1.000000000
0.100000000,"2012","ECO2","Elec","S1","q",25.218171628,1.000000000
0.100000000,"2012","low","Elec","S1","q",0.000000000,1.000000000
0.100000000,"2012","low","total","S1","q",6.4440624302E+5,1.000000000
0.100000000,"2012","low","Elec","S1","wage",0.079131810,1.000000000
0.100000000,"2012","high","Elec","S1","q",0.000000000,1.000000000
0.100000000,"2012","high","total","S1","q",76223.433596544,1.000000000
0.100000000,"2012","high","Elec","S1","wage",0.113578141,1.000000000
0.100000000,"2012","out","Coal","S1","q",2748.764491440,1.000000000
0.100000000,"2012","ECO2","Coal","S1","q",16.311816444,1.000000000
0.100000000,"2012","low","Coal","S1","q",4604.465136747,1.000000000
0.100000000,"2012","low","total","S1","q",6.4440624302E+5,1.000000000
0.100000000,"2012","low","Coal","S1","wage",0.115591552,1.000000000
0.100000000,"2012","high","Coal","S1","q",545.459119353,1.000000000
0.100000000,"2012","high","total","S1","q",76223.433596544,1.000000000
0.100000000,"2012","high","Coal","S1","wage",0.177585477,1.000000000
0.100000000,"2012","out","Oilgas","S1","q",1224.619125838,1.000000000
0.100000000,"2012","ECO2","Oilgas","S1","q",0.209753978,1.000000000
0.100000000,"2012","low","Oilgas","S1","q",701.045519434,1.000000000
0.100000000,"2012","low","total","S1","q",6.4440624302E+5,1.000000000
0.100000000,"2012","low","Oilgas","S1","wage",0.116924126,1.000000000
0.100000000,"2012","high","Oilgas","S1","q",414.825103908,1.000000000
0.100000000,"2012","high","total","S1","q",76223.433596544,1.000000000
0.100000000,"2012","high","Oilgas","S1","wage",0.166891798,1.000000000
0.100000000,"2012","out","Roil","S1","q",3489.168092537,1.000000000
0.100000000,"2012","ECO2","Roil","S1","q",1.253732888,1.000000000
0.100000000,"2012","low","Roil","S1","q",350.226593997,1.000000000
0.100000000,"2012","low","total","S1","q",6.4440624302E+5,1.000000000
0.100000000,"2012","low","Roil","S1","wage",0.125323017,1.000000000
0.100000000,"2012","high","Roil","S1","q",219.719562508,1.000000000
0.100000000,"2012","high","total","S1","q",76223.433596544,1.000000000
0.100000000,"2012","high","Roil","S1","wage",0.180655495,1.000000000
0.100000000,"2012","out","Gas","S1","q",311.871356980,1.000000000
0.100000000,"2012","ECO2","Gas","S1","q",0.890762047,1.000000000
0.100000000,"2012","low","Gas","S1","q",348.692583046,1.000000000
0.100000000,"2012","low","total","S1","q",6.4440624302E+5,1.000000000
0.100000000,"2012","low","Gas","S1","wage",0.034470417,1.000000000
0.100000000,"2012","high","Gas","S1","q",144.958232278,1.000000000
0.100000000,"2012","high","total","S1","q",76223.433596544,1.000000000
0.100000000,"2012","high","Gas","S1","wage",0.050100984,1.000000000
0.100000000,"2012","out","Agri","S1","q",8952.766999740,1.000000000
0.100000000,"2012","ECO2","Agri","S1","q",0.464934894,1.000000000
0.100000000,"2012","low","Agri","S1","q",3.3445598224E+5,1.000000000
0.100000000,"2012","low","total","S1","q",6.4440624302E+5,1.000000000
0.100000000,"2012","low","Agri","S1","wage",0.015513692,1.000000000
0.100000000,"2012","high","Agri","S1","q",2064.782612323,1.000000000
0.100000000,"2012","high","total","S1","q",76223.433596544,1.000000000
0.100000000,"2012","high","Agri","S1","wage",0.053751414,1.000000000
